population,border_color,name,set_or_source,collector_number,scryfall_id,card_pk,matched_printing,census,image_url,image_w,image_h,aspect_ratio,bleed_class,prod_layout_class,placement,avg_r,avg_g,avg_b,brightness,saturation,mean_std_r,uniform,classifier_verdict,left_r,left_g,left_b,left_brightness,left_saturation,left_std_r,left_n_px,right_r,right_g,right_b,right_brightness,right_saturation,right_std_r,right_n_px,top_r,top_g,top_b,top_brightness,top_saturation,top_std_r,top_n_px,bottom_r,bottom_g,bottom_b,bottom_brightness,bottom_saturation,bottom_std_r,bottom_n_px
scryfall,gold,Eron the Relentless,ptc,mj73sb,00a52735-fb3b-4e61-a07f-f6d1cd433a75,,,sample,https://cards.scryfall.io/normal/front/0/0/00a52735-fb3b-4e61-a07f-f6d1cd433a75.jpg?1782755826,488,680,0.71765,trimmed,,raw,158.54,113.7,64.09,112.11,94.45,41.59,False,borderless,143.53,94.2,50.12,95.95,93.41,55.93,4760,173.44,108.81,60.48,114.24,112.96,47.67,4760,169.17,134.87,78.29,127.44,90.87,13.76,3410,148.01,116.9,67.46,110.79,80.55,49.01,3410
scryfall,gold,Eron the Relentless,ptc,mj73sb,00a52735-fb3b-4e61-a07f-f6d1cd433a75,,,sample,https://cards.scryfall.io/normal/front/0/0/00a52735-fb3b-4e61-a07f-f6d1cd433a75.jpg?1782755826,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Eron the Relentless,ptc,mj73sb,00a52735-fb3b-4e61-a07f-f6d1cd433a75,,,sample,https://cards.scryfall.io/normal/front/0/0/00a52735-fb3b-4e61-a07f-f6d1cd433a75.jpg?1782755826,488,680,0.71765,trimmed,,cardspace,158.54,113.7,64.09,112.11,94.45,41.59,False,borderless,143.53,94.2,50.12,95.95,93.41,55.93,4760,173.44,108.81,60.48,114.24,112.96,47.67,4760,169.17,134.87,78.29,127.44,90.87,13.76,3410,148.01,116.9,67.46,110.79,80.55,49.01,3410
scryfall,gold,Forest,wc02,rl349,0031d026-9e9a-46f6-8204-1acfee8b8809,,,sample,https://cards.scryfall.io/normal/front/0/0/0031d026-9e9a-46f6-8204-1acfee8b8809.jpg?1782754392,488,680,0.71765,trimmed,,raw,167.73,136.52,75.7,126.65,92.03,8.1,True,,169.51,137.7,76.32,127.84,93.19,8.35,4760,163.93,132.22,70.6,122.25,93.33,8.75,4760,165.94,135.78,76.42,126.05,89.52,7.75,3410,171.53,140.36,79.45,130.45,92.07,7.56,3410
scryfall,gold,Forest,wc02,rl349,0031d026-9e9a-46f6-8204-1acfee8b8809,,,sample,https://cards.scryfall.io/normal/front/0/0/0031d026-9e9a-46f6-8204-1acfee8b8809.jpg?1782754392,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Forest,wc02,rl349,0031d026-9e9a-46f6-8204-1acfee8b8809,,,sample,https://cards.scryfall.io/normal/front/0/0/0031d026-9e9a-46f6-8204-1acfee8b8809.jpg?1782754392,488,680,0.71765,trimmed,,cardspace,167.73,136.52,75.7,126.65,92.03,8.1,True,,169.51,137.7,76.32,127.84,93.19,8.35,4760,163.93,132.22,70.6,122.25,93.33,8.75,4760,165.94,135.78,76.42,126.05,89.52,7.75,3410,171.53,140.36,79.45,130.45,92.07,7.56,3410
scryfall,gold,Goblin Warchief,wc03,we97,00e4415d-1c71-41bc-84f2-2eee6367c49b,,,sample,https://cards.scryfall.io/normal/front/0/0/00e4415d-1c71-41bc-84f2-2eee6367c49b.jpg?1782754276,488,680,0.71765,trimmed,,raw,172.34,133.92,74.75,127.0,97.6,16.76,True,,172.22,134.41,75.72,127.45,96.51,16.95,4760,175.71,126.88,68.27,123.62,107.44,27.07,4760,165.37,135.97,75.97,125.77,89.4,6.37,3410,176.07,138.42,79.03,131.17,97.04,16.63,3410
scryfall,gold,Goblin Warchief,wc03,we97,00e4415d-1c71-41bc-84f2-2eee6367c49b,,,sample,https://cards.scryfall.io/normal/front/0/0/00e4415d-1c71-41bc-84f2-2eee6367c49b.jpg?1782754276,488,680,0.71765,trimmed,,production,167.87,137.36,77.93,127.72,89.94,4.54,True,,163.83,134.71,75.64,124.73,88.19,4.92,1022,165.46,134.68,76.49,125.54,88.97,3.94,1533,,,,,,,0,174.32,142.68,81.66,132.89,92.66,4.75,377
scryfall,gold,Goblin Warchief,wc03,we97,00e4415d-1c71-41bc-84f2-2eee6367c49b,,,sample,https://cards.scryfall.io/normal/front/0/0/00e4415d-1c71-41bc-84f2-2eee6367c49b.jpg?1782754276,488,680,0.71765,trimmed,,cardspace,172.34,133.92,74.75,127.0,97.6,16.76,True,,172.22,134.41,75.72,127.45,96.51,16.95,4760,175.71,126.88,68.27,123.62,107.44,27.07,4760,165.37,135.97,75.97,125.77,89.4,6.37,3410,176.07,138.42,79.03,131.17,97.04,16.63,3410
scryfall,gold,Jan Tomcani Bio,wc01,jt0a,006a2cce-dd8f-47d5-aedd-135e51ecfa23,,,sample,https://cards.scryfall.io/normal/front/0/0/006a2cce-dd8f-47d5-aedd-135e51ecfa23.jpg?1782754586,488,680,0.71765,trimmed,,raw,166.41,135.57,74.99,125.66,91.42,12.58,True,,169.54,138.25,76.83,128.21,92.71,9.13,4760,158.69,127.85,67.23,117.92,91.46,25.89,4760,165.97,135.87,76.47,126.1,89.5,7.72,3410,171.45,140.32,79.43,130.4,92.02,7.57,3410
